Unnamed: 0,product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,manufacturer,discount_percentage,Revenue
42,26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",Tống Mặc,89000,57001,65623,Others,6602,4.8,Unknown,35.95,3740576623
43,56454897,Hiệu Sách Nhỏ Ở Paris,Nina George,149000,89400,5665,Tiểu Thuyết,1069,4.8,Nhà Xuất Bản Hà Nội,40.0,506451000
44,197657911,Tiếng Núi,Kawabata Yasunari,220000,132000,854,Tác Phẩm Kinh Điển,79,4.8,Nhà Xuất Bản Hà Nội,40.0,112728000
46,70016692,Bắt Trẻ Đồng Xanh (Tái Bản 2020),Jerome David Salinger,88000,52800,6679,Tiểu Thuyết,1547,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,352651200
47,204317934,1111 - Nhật Ký Sáu Vạn Dặm Trên Yên Xe Cà Tàng,Trần Đặng Đăng Khoa,325000,262000,768,Others,59,5.0,Nxb Trẻ,19.38,201216000
48,106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,145000,93001,16741,Others,5540,4.8,Nhà Xuất Bản Thanh Niên,35.86,1556929741
49,17336364,Phía Sau Nghi Can X (Tái Bản 2019),Higashino Keigo,109000,65400,16595,Truyện Trinh Thám,3213,4.8,Unknown,40.0,1085313000
50,53095307,Nàng Tóc Đỏ (Nobel Văn Chương 2006),Unknown,120000,66000,708,Tác Phẩm Kinh Điển,85,4.7,Nhà Xuất Bản Dân Trí,45.0,46728000
51,10005245,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,John Gray,188000,135300,48419,Others,3904,4.7,Unknown,28.03,6551090700
52,127844385,Kiêu Hãnh Và Định Kiến (Tái Bản),Jane Austen,116000,86500,1932,Tiểu Thuyết,369,4.8,Nhà Xuất Bản Hội Nhà Văn,25.43,167118000
53,10095276,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,Ken Mogi,90000,54000,5684,Others,498,4.8,Unknown,40.0,306936000
54,54266567,Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Napoleon Hill,110000,72600,8825,Bài Học Kinh Doanh,1448,4.8,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.0,640695000
55,100347903,Nói Một Cách Đơn Giản,Rhee Dongwoo,129000,98000,628,Others,73,5.0,Nhà Xuất Bản Hà Nội,24.03,61544000
56,203701754,Một Họa Sĩ Phù Thế,Kazuo Ishiguro,169000,101400,291,Tiểu Thuyết,21,5.0,Nhà Xuất Bản Văn Học,40.0,29507400
57,103379147,Bạch Dạ Hành (Tái Bản),Higashino Keigo,209000,125400,3528,Truyện Trinh Thám,918,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,442411200
58,71990280,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương TiếU HằNg,159000,111000,7744,Sách Nghệ Thuật Sống Đẹp,1242,4.8,Nhà Xuất Bản Thanh Niên,30.19,859584000
59,121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,119000,72780,7994,Others,1418,5.0,Nhà Xuất Bản Dân Trí,38.84,581803320
60,14684956,Sáu Người Đi Khắp Thế Gian (Tập 2) ( Tái Bản 2019 ),James Albert Michener,150000,127500,18,Others,4,5.0,Unknown,15.0,2295000
61,95470626,Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),Nguyên Phong,436000,248500,5947,Others,1207,4.8,Nhà Xuất Bản Tổng Hợp Tp.Hcm,43.0,1477829500
62,72308265,Hoa Vẫn Nở Mỗi Ngày,Unknown,234000,140400,3892,Tiểu Thuyết,793,4.8,Nhà Xuất Bản Hà Nội,40.0,546436800
63,69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,98000,63001,13123,Others,2505,5.0,Nhà Xuất Bản Hà Nội,35.71,826762123
64,143217512,Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,96000,63320,6838,Others,812,4.8,Nhà Xuất Bản Thế Giới,34.04,432982160
66,124767703,Cân Bằng Cảm Xúc Cả Lúc Bão Giông (Tặng Kèm Bookmark)(Tái Bản),Richard Nicholls,105000,76000,3906,Others,497,5.0,Nhà Xuất Bản Thế Giới,27.62,296856000
67,27582931,How Money Works - Hiểu Hết Về Tiền,Dịch Giả Bùi Thị Quỳnh Chi,300000,180000,8546,Bài Học Kinh Doanh,1291,4.7,Unknown,40.0,1538280000
68,46240929,Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,99000,54450,25115,Others,4341,4.8,Nhà Xuất Bản Phụ Nữ,45.0,1367511750
69,205033951,Một chỗ trong đời,Annie Ernaux,69000,51700,240,Tác Phẩm Kinh Điển,14,5.0,Nhà Xuất Bản Hội Nhà Văn,25.07,12408000
70,77105730,Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,169000,101400,2895,Tiểu Thuyết,583,4.8,Nhà Xuất Bản Văn Học,40.0,293553000
71,52805060,Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020),William Golding,88000,52800,3918,Tác Phẩm Kinh Điển,744,4.8,Nhà Xuất Bản Văn Học,40.0,206870400
72,381234,Cuốn Sách Hoàn Hảo Về Ngôn Ngữ Cơ Thể - Body Language (Tái Bản),Allan & Barbara Pease,198000,159000,30490,Others,1076,4.7,Unknown,19.7,4847910000
73,188695904,GIẬN (TBL22),Thích Nhất Hạnh,135000,116000,1802,Others,145,5.0,Nhà Xuất Bản Thế Giới,14.07,209032000
75,573722,Thạch Sùng Trên Gác Mái,Trịnh Lịch Nhi,59000,50150,15,Truyện Ngắn - Tản Văn - Tạp Văn,3,5.0,Unknown,15.0,752250
76,145288026,Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,Tim Marshall,200000,120000,1745,Truyện Ngắn - Tản Văn - Tạp Văn,272,4.8,Nhà Xuất Bản Dân Trí,40.0,209400000
77,52329763,Kafka bên bờ biển (Tái Bản 2020),Haruki Murakami,158000,94800,4622,Tiểu Thuyết,986,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,438165600
78,161008715,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),David R.Hawkins,179000,125300,2792,Kiến Thức Bách Khoa,281,5.0,Nhà Xuất Bản Thế Giới,30.0,349837600
79,68585576,"Càng Kỷ Luật, Càng Tự Do",Ca Tây,109000,74000,17018,Others,3219,4.8,Nhà Xuất Bản Thế Giới,32.11,1259332000
80,195801692,Chuyện Con Mèo Lập Kèo Cứu Sách,Natsukawa Sosuke,119000,71400,562,Truyện Giả Tưởng - Huyền Bí - Phiêu Lưu,78,5.0,Nhà Xuất Bản Hà Nội,40.0,40126800
81,157432544,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,220000,151800,5616,Sách Học Tiếng Anh,1014,5.0,Nhà Xuất Bản Đà Nẵng,31.0,852508800
82,174444163,"Dear, Darling",Hiên,88000,61100,4735,Truyện Ngắn - Tản Văn - Tạp Văn,724,4.8,Nhà Xuất Bản Phụ Nữ Việt Nam,30.57,289308500
83,120509490,Thương Nhớ Mười Hai (Việt Nam Danh Tác) (Tái Bản),Vũ Bằng,99000,59400,1119,Truyện Ngắn - Tản Văn - Tạp Văn,174,5.0,Nhà Xuất Bản Hội Nhà Văn,40.0,66468600
84,11122712,Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,William J. O’Neil,700000,700000,14656,"Sách Tài Chính, Tiền Tệ",2320,4.8,Nhà Xuất Bản Thế Giới,0.0,10259200000
85,35355716,Gỗ Thần,Lưu Khánh Bang,79000,67150,4,Truyện Trinh Thám,3,5.0,Unknown,15.0,268600
86,120219394,Tôi Nói Gì Khi Nói Về Chạy Bộ,Haruki Murakami,76000,59000,89,Truyện Ngắn - Tản Văn - Tạp Văn,15,5.0,Nhà Xuất Bản Hội Nhà Văn,22.37,5251000
87,107802183,Sức Mạnh Tiềm Thức (Tái Bản),Joseph Murphyc,128000,84400,5034,Others,711,5.0,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.06,424869600
88,7718737,Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),Rolf Dobelli,118000,70800,9719,Others,888,4.8,Unknown,40.0,688105200
89,147999778,Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),Chung Ju Yung,268000,168800,6051,Bài Học Kinh Doanh,490,5.0,Nhà Xuất Bản Dân Trí,37.01,1021408800
90,527316,Mát Mát Lạnh Lạnh,Ngọc Bảo An,55000,43500,278,Truyện Ngắn - Tản Văn - Tạp Văn,13,4.7,Unknown,20.91,12093000
91,641906,Bí Mật Của Naoko,Higashino Keigo,108000,64800,12680,Tiểu Thuyết,1293,4.7,Unknown,40.0,821664000
92,153045603,Người Giỏi Không Phải Là Người Làm Tất Cả (Tái Bản),Donna M. Genett,58000,38200,1278,Sách Kỹ Năng Làm Việc,88,5.0,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.14,48819600
93,204806201,Chiến Tranh Tiền Tệ - Tập 5,Song Hong Bing,195000,137000,182,"Sách Quản Trị, Lãnh Đạo",15,5.0,Nhà Xuất Bản Lao Động,29.74,24934000
94,203957925,Monster #8 - Tập 6,Naoya Matsumoto,58000,49200,1438,Others,132,5.0,Nhà Xuất Bản Hồng Đức,15.17,70749600
95,1934493,Thiên Môn Chi Thánh,Phương Bạch Vũ,100000,75000,497,Tiểu Thuyết,31,4.5,Unknown,25.0,37275000
96,174842858,Sức Mạnh Của Ngôn Từ (Tái Bản 2022),Don Gabor,108000,71200,837,Sách Nghệ Thuật Sống Đẹp,72,5.0,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.07,59594400
97,207475540,Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],Kaito,45000,45000,143,Others,15,4.7,Nhà Xuất Bản Kim Đồng,0.0,6435000
98,3071853,Homo Deus: Lược Sử Tương Lai,Yuval Noah Harari,189000,113400,19927,Lịch Sử Thế Giới,1486,4.6,Unknown,40.0,2259721800
99,27971953,Lược Sử Tôn Giáo,Richard Holloway,129000,77400,4438,Others,579,4.7,Unknown,40.0,343501200
101,8886001,Giết Con Chim Nhại (Tái Bản),Harper Lee,120000,72000,12199,Truyện Dài,1379,4.8,Unknown,40.0,878328000
102,50414368,Án Mạng Mười Một Chữ,Higashino Keigo,110000,66000,7392,Truyện Trinh Thám,1232,4.8,Nhà Xuất Bản Hà Nội,40.0,487872000
103,50072452,Lâu Đài Bay Của Pháp Sư Howl (Tái Bản 2020),Diana Wynne Jones,106000,63600,5292,Truyện Giả Tưởng - Huyền Bí - Phiêu Lưu,1283,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,336571200
104,184419723,Sapiens Lược Sử Loài Người (Tái Bản 2022),Yuval Noah Harari,299000,191000,674,Lịch Sử Thế Giới,72,5.0,Nhà Xuất Bản Tri Thức,36.12,128734000
106,199692508,"Basic Economics: Kinh tế học cơ bản, a bờ cờ, kinh tế học nhập môn cho nhà đầu tư",Thomas Sowell,569000,569000,363,"Sách Tài Chính, Tiền Tệ",50,5.0,Nhà Xuất Bản Thế Giới,0.0,206547000
107,198414891,Hồ Sơ Tâm Lý Học Tâm Thần Hay Kẻ Điên,Mục Qua,189000,116180,643,Kiến Thức Bách Khoa,86,5.0,Nhà Xuất Bản Thanh Niên,38.53,74703740
108,21367457,Tôn Tử Binh Pháp ( Tái Bản ),Tôn Tử,76000,45600,4002,Kiến Thức Bách Khoa,703,4.8,Unknown,40.0,182491200
109,168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),Song Hong Bing,165000,116000,3436,"Sách Tài Chính, Tiền Tệ",480,5.0,Nhà Xuất Bản Lao Động,29.7,398576000
111,23416722,How The Body Works - Hiểu Hết Về Cơ Thể,Phạm Hằng Nguyên,300000,180000,5507,Others,940,4.8,Unknown,40.0,991260000
112,57762732,Nhà Đầu Tư Thông Minh (Tái Bản 2020),Benjamin Graham,199000,119400,15154,Sách Kỹ Năng Làm Việc,2749,4.8,Nhà Xuất Bản Thế Giới,40.0,1809387600
113,57325187,Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),George Samuel Clason,98000,64600,12729,Bài Học Kinh Doanh,2134,5.0,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.08,822293400
114,196932335,Đi khi ta còn trẻ,Trương Anh Ngọc,120000,72000,423,Tiểu Sử - Hồi Ký,27,4.7,Nhà Xuất Bản Thế Giới,40.0,30456000
115,94159129,Franken-Stein Ở Baghdad,Ahmed Saadawi,148000,59200,188,Tiểu Thuyết,36,4.7,Nhà Xuất Bản Hội Nhà Văn,60.0,11129600
116,69764534,Thợ Xăm Ở Auschwitz,Heather Morris,148000,88800,2251,Tiểu Thuyết,447,4.8,Nhà Xuất Bản Văn Học,40.0,199888800
117,111285062,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),Dale Carnegie,86000,56700,6660,Sách Nghệ Thuật Sống Đẹp,757,4.8,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.07,377622000
118,86517373,Khoa Học Về Nấu Ăn - The Science Of Cooking,Stuart Farrimond,350000,210000,5937,Others,1239,4.8,Nhà Xuất Bản Thế Giới,40.0,1246770000
119,205942260,Chuyện Đi Làm Hết Lòng,Na Lê,136000,116000,2802,Sách Nghệ Thuật Sống Đẹp,0,0.0,Nhà Xuất Bản Dân Trí,14.71,325032000
120,179546070,Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Của Linh Hồn Và Năng Lượng Chữa Lành Cơ Thể Từ Bên Trong,Prentice Mulford,129000,90200,929,Others,86,5.0,Nhà Xuất Bản Thanh Niên,30.08,83795800
121,200780130,Người bà tài giỏi vùng Saga – Tập 9,Yoshichi Shimada,52000,43000,977,Others,81,5.0,Nhà Xuất Bản Phụ Nữ,17.31,42011000
122,53720978,"Trong Cái Không Có  Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",Thích Nhất Hạnh,160000,130000,3450,Sách Nghệ Thuật Sống Đẹp,392,5.0,Nhà Xuất Bản Kim Đồng,18.75,448500000
123,3608625,Payback Time - Ngày Đòi Nợ,Phil Town,299000,299000,31234,Bài Học Kinh Doanh,4311,4.8,Nhà Xuất Bản Thế Giới,0.0,9338966000
124,73633330,"Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",Napoleon Hill,110000,77000,12230,Sách Kỹ Năng Làm Việc,1958,4.8,Nhà Xuất Bản Lao Động,30.0,941710000
125,148760924,How Management Works - Hiểu Hết Về Quản Lý,Dk,330000,262000,1391,"Sách Quản Trị, Lãnh Đạo",204,4.8,Nhà Xuất Bản Thế Giới,20.61,364442000
126,35283863,Lược Sử Thế Giới,E.H. Gombrich,320000,192000,5087,Lịch Sử Thế Giới,754,4.6,Nhà Xuất Bản Thế Giới,40.0,976704000
127,147988216,Combo 2 Cuốn : Dám Bị Ghét + Dám Hạnh Phúc,Kishimi Ichiro,206000,119480,1482,Others,267,5.0,Nhà Xuất Bản Lao Động,42.0,177069360
128,74341297,Không Sợ Chậm Chỉ Sợ Dừng ,Vãn Tình,129000,83001,13655,Sách Nghệ Thuật Sống Đẹp,2802,5.0,Nhà Xuất Bản Thế Giới,35.66,1133378655
129,161008717,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),Brian L Weiss,99000,69300,2734,Others,395,5.0,Nhà Xuất Bản Lao Động,30.0,189466200
130,49459956,Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản,William B. Irvine,125000,87500,24252,Kiến Thức Bách Khoa,3508,4.8,Nhà Xuất Bản Công Thương,30.0,2122050000
131,76013378,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),Cole Nussbaumer Knaflic,319000,223000,8567,Sách Kỹ Năng Làm Việc,1641,5.0,Nhà Xuất Bản Thế Giới,30.09,1910441000
132,77774625,"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",Nhà Tâm Thần Học Daigo,99000,70100,8188,Others,1565,4.8,Nhà Xuất Bản Thế Giới,29.19,573978800
133,75307228,OSHO - Yêu - Being In Love,Osho,168000,110800,671121,Sách Nghệ Thuật Sống Đẹp,1855,5.0,Nhà Xuất Bản Văn Hóa - Văn Nghệ Tp.Hcm,34.05,74360206800
134,45902241,Tìm Mình Trong Thế Giới Hậu Tuổi Thơ,Đặng Hoàng Giang,142000,85200,14728,Others,1578,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,1254825600
135,85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),Bạch Tô,99000,64001,10037,Others,2253,5.0,Nhà Xuất Bản Văn Học,35.35,642378037
136,5067169,Luật Hấp Dẫn (Tái Bản),Unknown,89000,53400,7271,Others,673,4.8,Unknown,40.0,388271400
137,54748899,Muôn Kiếp Nhân Sinh (Many Lives - Many Times),Nguyên Phong,168000,110800,45110,Others,5075,4.8,Nhà Xuất Bản Tổng Hợp Tp.Hcm,34.05,4998188000
138,50322710,48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),Robert Greene,200000,161000,3738,Others,585,4.8,Nxb Trẻ,19.5,601818000
139,203954152,Blue Period - Tập 06,Yamaguchi Tsubasa,48000,41700,334,Others,29,5.0,Nxb Trẻ,13.12,13927800
140,82912488,Từ Tốt Đến Vĩ Đại (Tái bản 2021),Unknown,130000,93800,8235,Sách Kinh Tế Học,1119,5.0,Nxb Trẻ,27.85,772443000
141,201877500,"Wyckoff 2.0: Tìm hiểu chuyên sâu về cấu trúc, hồ sơ khối lượng và dòng chảy lệnh trên thị trường",Rubén Villahermosa Chaves,499000,499000,246,"Sách Tài Chính, Tiền Tệ",27,5.0,Nhà Xuất Bản Thế Giới,0.0,122754000
142,140416370,Dòng Chảy,Mihaly Csikszentmihalyi,228000,150400,3128,Sách Nghệ Thuật Sống Đẹp,375,5.0,Nhà Xuất Bản Dân Trí,34.04,470451200
143,195801690,"The Witcher - Thuật Sĩ, Điều Ước Cuối Cùng",Andrzej Sapkowski,175000,105000,534,Truyện Giả Tưởng - Huyền Bí - Phiêu Lưu,75,4.8,Nhà Xuất Bản Hội Nhà Văn,40.0,56070000
144,206576737,Dragon Quest - Dấu Ấn Roto (Dragon Quest Saga Emblem Of Roto) Perfect Edition Tập 12 [Tặng Kèm Bookmark PVC],Kamui Fujiwara,75000,75000,139,Others,8,5.0,Nhà Xuất Bản Kim Đồng,0.0,10425000
145,73125816,Digital Marketing - Từ Chiến Lược Đến Thực Thi (Tái Bản 2020),Unknown,220000,154000,4487,Sách Marketing - Bán Hàng,865,4.8,Nhà Xuất Bản Lao Động,30.0,690998000
146,201355034,Mỗi Một Người Đều Cần Nhiều Trạm Dừng,Linh – Minh Mẫn,118000,83900,443,Truyện Ngắn - Tản Văn - Tạp Văn,24,4.8,Nhà Xuất Bản Văn Học,28.9,37167700
147,207398348,Kingdom - Tập 39,Yasuhisa Hara,45000,39100,90,Others,2,5.0,Nxb Trẻ,13.11,3519000
148,206308038,Lịch Nhã Nam - Những chú mèo văn chương -  Happy New Year Quý Mão 2023,Tùng Nâm,88000,64000,112,Tác Phẩm Kinh Điển,19,5.0,Nhà Xuất Bản Thế Giới,27.27,7168000
149,7833728,Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),Robert T. Kiyosaki,65000,52000,36046,Bài Học Kinh Doanh,3451,4.8,Unknown,20.0,1874392000
150,5154511,Bà Nội Găngxtơ (Tái Bản),David Walliams,75000,45000,4137,Tiểu Thuyết,463,5.0,Unknown,40.0,186165000
151,173748415,Tâm Lý Học Mối Quan Hệ,Choi Kwanghyun,98000,69001,2451,Others,254,5.0,Nhà Xuất Bản Thanh Niên,29.59,169121451
